EMDINDSTN1_A,industry_year_code
0,0
1,110000
2,110000
3,110000
4,110000
5,110000
6,210000
7,210000
8,210000
9,220000
10,230000
11,300000
12,300000
13,300000
14,300000
15,300000
16,300000
17,300000
18,300000
19,300000
20,300000
21,300000
22,300000
23,300000
24,300000
25,300000
26,300000
27,300000
28,300000
29,300000
30,300000
31,300000
32,420000
33,420000
34,420000
35,412000
36,412000
37,412000
38,412000
39,412000
40,412000
41,412000
42,412000
43,412000
44,412000
45,412000
46,412000
47,430000
48,430000
49,430000
50,510000
51,510000
52,510000
53,510000
54,520000
55,522000
56,520000
57,524000
58,530000
59,530000
60,530000
61,540000
62,540A00
63,560000
64,610000
65,620000
66,622000
67,620000
68,620000
69,700000
70,700000
71,700000
72,720000
73,720000
74,810000
75,810000
76,810000
77,810000
78,920000
79,920000
97,0
98,0
99,0
